Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
46	31	0	0.677195011	2.00361608e+11	1.06958512e+11	4.50375459e+10	2.00361608e+11	5.60127478e+10	0	0	0	0	0	3
47	32	0	0.691916642	2.06231032e+11	1.11699497e+11	4.67635645e+10	2.06231032e+11	6.07537327e+10	0	0	0	0	0	3
48	32	0	0.706638273	2.11811058e+11	1.16553835e+11	4.91687711e+10	2.11811058e+11	6.56080707e+10	0	0	0	0	0	3
49	33	0	0.721359904	2.17097862e+11	1.21492926e+11	5.10647515e+10	2.17097862e+11	7.05397249e+10	0	0	0	0	0	3
50	33	0	0.736081534	2.22097332e+11	1.26523296e+11	5.37724807e+10	2.22097332e+11	7.5404255e+10	0	0	0	0	0	3
51	34	0	0.750803165	2.26760276e+11	1.31611172e+11	5.64817325e+10	2.26760276e+11	8.0194204e+10	0	0	0	0	0	3
52	34	0	0.765524796	2.31212271e+11	1.36750306e+11	5.92095206e+10	2.31212271e+11	8.49232032e+10	0	0	0	0	0	3
53	35	0	0.780246426	2.35388579e+11	1.41932043e+11	6.16779488e+10	2.35388579e+11	8.96123979e+10	0	0	0	0	0	3
54	36	0	0.794968057	2.39454452e+11	1.47160764e+11	6.38379448e+10	2.39454452e+11	9.42926281e+10	0	0	0	0	0	3
55	36	0	0.809689688	2.43316875e+11	1.52439556e+11	6.71312314e+10	2.43316875e+11	9.89230976e+10	0	0	0	0	0	3
56	37	0	0.824411318	2.47056519e+11	1.57731476e+11	7.02120413e+10	2.47056519e+11	1.03489123e+11	0	0	0	0	0	3
57	37	0	0.839132949	2.50605241e+11	1.63037158e+11	7.35757393e+10	2.50605241e+11	1.07989247e+11	0	0	0	0	0	3
58	38	0	0.85385458	2.54021006e+11	1.68344372e+11	7.6571839e+10	2.54021006e+11	1.12435504e+11	0	0	0	0	0	3
59	39	0	0.86857621	2.57231048e+11	1.73657878e+11	7.97020244e+10	2.57231048e+11	1.16833889e+11	0	0	0	0	0	3
60	39	0	0.883297841	2.60385077e+11	1.78972086e+11	8.39653812e+10	2.60385077e+11	1.2114286e+11	0	0	0	0	0	3
61	40	0	0.898019472	2.63412332e+11	1.84249937e+11	8.86534192e+10	2.63412332e+11	1.25319847e+11	0	0	0	0	0	3
62	40	0	0.912741102	2.66370826e+11	1.8947692e+11	9.35013445e+10	2.66370826e+11	1.29354717e+11	0	0	0	0	0	3
63	41	0	0.927462733	2.69268078e+11	1.94646529e+11	9.81595367e+10	2.69268078e+11	1.33256416e+11	0	0	0	0	0	3
64	42	0	0.942184364	2.71976209e+11	1.99758784e+11	1.02800973e+11	2.71976209e+11	1.37032837e+11	0	0	0	0	0	3
65	42	0	0.956905994	2.74654028e+11	2.04813286e+11	1.09039532e+11	2.74654028e+11	1.40640039e+11	0	0	0	0	0	3
66	43	0	0.971627625	2.7727327e+11	2.09761337e+11	1.15429936e+11	2.7727327e+11	1.44034857e+11	0	0	0	0	0	3
67	43	0	0.986349256	2.79798888e+11	2.14595718e+11	1.21665697e+11	2.79798888e+11	1.4775289e+11	0	0	0	0	0	3
68	44	0	1.00107089	2.82218576e+11	2.19317862e+11	1.27872388e+11	2.82218576e+11	1.52475034e+11	7.37232419e+09	0	0	0	0	3
69	45	0	1.01579252	2.84682546e+11	2.23929925e+11	1.33262957e+11	2.84682546e+11	1.51419589e+11	7.44624331e+09	0	0	0	0	3
70	45	0	1.03051415	2.86996799e+11	2.28451509e+11	1.40135444e+11	2.86996799e+11	1.46861355e+11	7.4809571e+09	0	0	0	0	3
71	46	0	1.04523578	2.8914779e+11	2.32834225e+11	1.47392304e+11	2.8914779e+11	1.41755486e+11	7.51403827e+09	0	0	0	0	3
72	46	0	1.05995741	2.91271475e+11	2.37065965e+11	1.54503611e+11	2.91271475e+11	1.36767864e+11	7.5465065e+09	0	0	0	0	3
73	47	0	1.07467904	2.93237076e+11	2.41146361e+11	1.61429764e+11	2.93237076e+11	1.31807312e+11	7.57252623e+09	0	0	0	0	3
74	47	0	1.08940067	2.95078173e+11	2.45077197e+11	1.67257439e+11	2.95078173e+11	1.27820734e+11	7.5990782e+09	0	0	0	0	3
75	48	0	1.1041223	2.96845346e+11	2.48888606e+11	1.74101986e+11	2.96845346e+11	1.2274336e+11	7.62329913e+09	0	0	0	0	3
76	49	0	1.11884393	2.98453756e+11	2.52546011e+11	1.81014451e+11	2.98453756e+11	1.17439305e+11	7.64408003e+09	0	0	0	0	3
77	49	0	1.13356556	3.00047656e+11	2.56046987e+11	1.87684087e+11	3.00047656e+11	1.12363569e+11	7.66064099e+09	0	0	0	0	3
78	50	0	1.14828719	3.01485567e+11	2.5939409e+11	1.94150422e+11	3.01485567e+11	1.07335145e+11	7.67321376e+09	0	0	0	0	3
79	50	0	1.16300882	3.02871304e+11	2.62591763e+11	2.00361608e+11	3.02871304e+11	1.02509696e+11	7.68269804e+09	0	0	0	0	3
80	51	0	1.17773045	3.04199752e+11	2.65645826e+11	2.06231032e+11	3.04199752e+11	9.796872e+10	7.69037872e+09	0	0	0	0	3
81	51	0	1.19245209	3.05561758e+11	2.68567318e+11	2.11811058e+11	3.05561758e+11	9.37506995e+10	7.69603773e+09	0	0	0	0	3
82	52	0	1.20717372	3.06965295e+11	2.71365972e+11	2.17097862e+11	3.06965295e+11	8.98674336e+10	7.69874187e+09	0	0	0	0	3
83	53	0	1.22189535	3.08362252e+11	2.74050218e+11	2.22097332e+11	3.08362252e+11	8.62649197e+10	7.70008741e+09	0	0	0	0	3
84	53	0	1.23661698	3.09692981e+11	2.76626561e+11	2.26760276e+11	3.09692981e+11	8.29327053e+10	7.69868289e+09	0	0	0	0	3
85	54	0	1.25133861	3.11039893e+11	2.79105373e+11	2.31212271e+11	3.11039893e+11	7.98276219e+10	7.69503947e+09	0	0	0	0	3
86	54	0	1.26606024	3.12122183e+11	2.81485077e+11	2.35388579e+11	3.12122183e+11	7.67336042e+10	7.68905838e+09	0	0	0	0	3
