Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
51	34	0	0.750803165	6014.8148	5634.96936	5165.55332	6014.8148	572.419541	0	0	0	0	0	3
52	34	0	0.765524796	6030.00946	5660.39454	5171.84407	6030.00946	592.092392	0	0	0	0	0	3
53	35	0	0.780246426	6046.44551	5686.11812	5182.77466	6046.44551	611.997235	0	0	0	0	0	3
54	36	0	0.794968057	6061.90384	5711.91891	5182.77466	6061.90384	632.624043	0	0	0	0	0	3
55	36	0	0.809689688	6076.41946	5738.20258	5237.84697	6076.41946	651.7008	0	0	0	0	0	3
56	37	0	0.824411318	6090.23355	5763.27278	5259.24912	6090.23355	669.26024	0	0	0	0	0	3
57	37	0	0.839132949	6109.74363	5788.28732	5262.30416	6109.74363	687.262633	0	0	0	0	0	3
58	38	0	0.85385458	6129.45371	5813.79172	5274.62868	6129.45371	705.822872	0	0	0	0	0	3
59	39	0	0.86857621	6145.26264	5839.3986	5311.71244	6145.26264	723.593461	0	0	0	0	0	3
60	39	0	0.883297841	6163.81782	5864.46052	5352.78114	6163.81782	739.878496	0	0	0	0	0	3
61	40	0	0.898019472	6172.80539	5888.57888	5403.72557	6172.80539	754.027444	0	0	0	0	0	3
62	40	0	0.912741102	6190.66269	5911.72409	5457.34225	6190.66269	733.320447	0	0	0	0	0	3
63	41	0	0.927462733	6200.71787	5933.58808	5515.55749	6200.71787	685.160381	0	0	0	0	0	3
64	42	0	0.942184364	6216.86975	5954.21491	5577.37044	6216.86975	639.499301	0	0	0	0	0	3
65	42	0	0.956905994	6222.9407	5973.20227	5630.04779	6222.9407	592.892908	0	0	0	0	0	3
66	43	0	0.971627625	6227.93729	5990.78726	5674.58158	6227.93729	553.35571	0	0	0	0	0	3
67	43	0	0.986349256	6244.52618	6007.55034	5710.0525	6244.52618	534.473678	0	0	0	0	0	3
68	44	0	1.00107089	6257.96704	6023.66547	5724.39001	6257.96704	533.577029	38.0728625	0	7.1	0	0	3
69	45	0	1.01579252	6275.94667	6039.88772	5746.06339	6275.94667	529.883286	38.6122516	0	7.2	0	0	3
70	45	0	1.03051415	6289.74655	6055.87841	5764.04676	6289.74655	525.699791	38.8192497	0	7.3	0	0	3
71	46	0	1.04523578	6301.35644	6071.68163	5782.82549	6301.35644	518.530951	39.004348	0	7.5	0	0	3
72	46	0	1.05995741	6313.7572	6087.29727	5794.06749	6313.7572	519.689715	39.1899029	0	7.5	0	0	3
73	47	0	1.07467904	6327.51317	6102.98685	5873.51383	6327.51317	453.999332	39.3817113	0	8.6	0	0	3
74	47	0	1.08940067	6337.52914	6116.63436	5898.99841	6337.52914	438.530724	39.5548546	0	9	0	0	3
75	48	0	1.1041223	6345.13001	6129.75588	5917.30924	6345.13001	427.820774	39.6944257	0	9.2	0	0	3
76	49	0	1.11884393	6355.17388	6142.63425	5920.80673	6355.17388	434.367156	39.5190166	0	9	0	0	3
77	49	0	1.13356556	6362.69095	6155.63084	5949.29034	6362.69095	413.40061	39.4076442	0	9.5	0	0	3
78	50	0	1.14828719	6366.41952	6167.70494	5949.29034	6366.41952	417.129181	39.329732	0	9.4	0	0	3
79	50	0	1.16300882	6370.36335	6180.08944	5960.93599	6370.36335	409.427367	39.2767416	0	9.5	0	0	3
80	51	0	1.17773045	6375.70971	6191.97412	5960.93599	6375.70971	414.773726	39.2459488	0	9.4	0	0	3
81	51	0	1.19245209	6437.32081	6205.34261	5960.93599	6437.32081	476.384822	39.3620728	0	8.2	0	0	3
82	52	0	1.20717372	6506.80326	6221.39753	5965.17658	6506.80326	541.626678	39.6104986	0	7.3	0	0	3
83	53	0	1.22189535	6497.3413	6237.04943	5994.34748	6506.80326	512.455785	39.825801	0	7.7	0	0	3
84	53	0	1.23661698	6564.34491	6253.81407	6014.8148	6564.34491	549.530116	40.1220812	0	7.3	0	0	3
85	54	0	1.25133861	6526.96991	6268.87745	6030.00946	6564.34491	534.335457	40.2304145	0	7.5	0	0	3
86	54	0	1.26606024	6542.55866	6283.95243	6046.44551	6564.34491	517.899399	40.3162262	0	7.7	0	0	3
87	55	0	1.28078187	6557.58587	6298.98597	6061.90384	6564.34491	502.441076	40.3757463	0	8	0	0	3
88	56	0	1.2955035	6546.84431	6313.24892	6076.41946	6564.34491	487.925449	40.4293144	0	8.2	0	0	3
89	56	0	1.31022513	6554.57744	6327.31239	6090.23355	6564.34491	474.111362	40.399106	0	8.5	0	0	3
90	57	0	1.32494676	6548.02179	6340.77675	6109.74363	6564.34491	454.601283	40.3424591	0	8.8	0	0	3
91	57	0	1.33966839	6546.69064	6353.62813	6129.45371	6564.34491	434.8912	40.2867532	0	9.2	0	0	3
92	58	0	1.35439002	6547.79036	6365.93215	6145.26264	6564.34491	419.08227	40.2202837	0	9.5	0	0	3
93	58	0	1.36911165	6550.1679	6377.84113	6163.81782	6564.34491	400.527093	40.1146313	0	10	0	0	3
94	59	0	1.38383328	6540.86807	6388.93085	6172.80539	6564.34491	391.53952	39.9697191	0	10.2	0	0	3
95	59	0	1.39855492	6537.54742	6399.65855	6190.66269	6564.34491	373.68222	39.7789362	0	10.6	0	0	3
96	60	0	1.41327655	6542.45598	6410.00541	6200.71787	6564.34491	363.627046	39.5443342	0	10.8	0	0	3
97	60	0	1.42799818	6545.0317	6420.13229	6216.86975	6564.34491	347.475169	39.265689	0	11.3	0	0	3
98	61	0	1.44271981	6540.74967	6429.65817	6222.9407	6564.34491	341.404215	38.9438071	0	11.4	0	0	3
99	62	0	1.45744144	6537.33149	6438.90496	6227.93729	6564.34491	336.407628	38.5917138	0	11.4	0	0	3
100	62	0	1.47216307	6526.01933	6447.67208	6244.52618	6564.34491	319.818732	38.2198759	0	11.9	0	0	3
101	63	0	1.4868847	6533.30591	6456.1656	6257.96704	6564.34491	306.377877	38.0728625	0	12.4	0	0	3
102	64	0	1.50160633	6521.861	6463.92719	6275.94667	6564.34491	288.398243	38.0728625	0	13.2	0	0	3
103	64	0	1.51632796	6521.16939	6471.13962	6289.74655	6564.34491	274.598365	38.0728625	0	13.8	0	0	3
104	65	0	1.53104959	6525.182	6478.06419	6301.35644	6564.34491	262.988474	38.0728625	0	14.4	0	0	3
105	66	0	1.54577122	6516.49137	6484.39169	6313.7572	6564.34491	250.58771	38.0728625	0	15.1	0	0	3
106	66	0	1.56049285	6524.41914	6490.58763	6327.51317	6564.34491	236.831749	38.0728625	0	16	0	0	3
107	67	0	1.57521448	6516.12392	6496.135	6337.52914	6564.34491	226.815778	38.0728625	0	16.7	0	0	3
108	67	0	1.58993611	6526.22504	6501.68488	6345.13001	6564.34491	219.214905	38.0728625	0	17.3	0	0	3
109	68	0	1.60465774	6523.83894	6506.94103	6355.17388	6564.34491	209.171033	38.0728625	0	18.2	0	0	3
110	68	0	1.61937938	6517.58859	6511.71793	6362.69095	6564.34491	201.653963	38.0728625	0	18.8	0	0	3
111	69	0	1.63410101	6518.63682	6516.30457	6366.41952	6564.34491	197.925392	38.0728625	0	19.2	0	0	3
112	69	0	1.64882264	6519.30915	6520.80133	6370.36335	6564.34491	193.981561	38.0728625	0	19.6	0	0	3
113	70	0	1.66354427	6518.08954	6525.14622	6375.70971	6564.34491	188.635202	38.0728625	0	20.1	0	0	3
114	71	0	1.6782659	6498.93977	6528.77063	6437.32081	6564.34491	127.024106	38.0728625	0	29.9	0	0	3
115	71	0	1.69298753	6507.64712	6530.83905	6497.3413	6564.34491	67.003617	38.0728625	0	56.8	0	0	3
116	72	0	1.70770916	6504.98405	6530.78554	6497.3413	6564.34491	67.003617	38.0728625	0	56.8	0	0	3
117	72	0	1.72243079	6518.74283	6531.415	6498.93977	6564.34491	65.405148	38.0728625	0	58.2	0	0	3
118	73	0	1.73715242	6518.60529	6530.06972	6498.93977	6557.58587	58.6461058	38.0728625	0	64.9	0	0	3
119	73	0	1.75187405	6545.35104	6530.61034	6498.93977	6557.58587	58.6461058	38.0728625	0	64.9	0	0	3
120	74	0	1.76659568	6557.56614	6531.05174	6498.93977	6557.58587	58.6461058	38.0728625	0	64.9	0	0	3
121	74	0	1.78131731	6570.39384	6531.42844	6498.93977	6570.39384	71.4540718	38.0728625	0	53.2	0	0	3
122	75	0	1.79603894	6580.87714	6532.42941	6498.93977	6580.87714	81.9373783	38.0728625	0	46.4	0	0	3
123	75	0	1.81076057	6584.03392	6533.29577	6498.93977	6584.03392	85.0941516	38.0728625	0	44.7	0	0	3
124	76	0	1.8254822	6575.36077	6534.09986	6498.93977	6584.03392	85.0941516	38.0728625	0	44.7	0	0	3
125	76	0	1.84020384	6577.85569	6535.01648	6498.93977	6584.03392	85.0941516	38.0728625	0	44.7	0	0	3
126	77	0	1.85492547	6585.21153	6536.1171	6498.93977	6585.21153	86.2717645	38.0728625	0	44.1	0	0	3
127	78	0	1.8696471	6579.57883	6536.98213	6498.93977	6585.21153	86.2717645	38.0728625	0	44.1	0	0	3
128	78	0	1.88436873	6590.12905	6538.43098	6498.93977	6590.12905	91.1892884	38.0728625	0	41.7	0	0	3
129	79	0	1.89909036	6588.98025	6539.94371	6498.93977	6590.12905	91.1892884	38.0728625	0	41.7	0	0	3
130	79	0	1.91381199	6595.5084	6541.50408	6498.93977	6595.5084	96.5686388	38.0728625	0	39.4	0	0	3
131	80	0	1.92853362	6592.61585	6542.90361	6498.93977	6595.5084	96.5686388	38.0728625	0	39.4	0	0	3
132	80	0	1.94325525	6603.23463	6544.7414	6498.93977	6603.23463	104.294864	38.0728625	0	36.5	0	0	3
133	81	0	1.95797688	6604.70529	6546.72299	6498.93977	6604.70529	99.0509096	38.0728625	0	38.4	0	0	3
134	81	0	1.97269851	6598.23106	6548.84686	6498.93977	6604.70529	92.6812629	38.0728625	0	41	0	0	3
135	82	0	1.98742014	6612.92725	6551.18867	6498.93977	6612.92725	87.2614801	38.0728625	0	43.6	0	0	3
136	82	0	2.00214177	6628.87207	6554.33605	6498.93977	6628.87207	83.1964317	38.0728625	0	45.7	0	0	3
137	83	0	2.0168634	6630.40622	6557.5489	6498.93977	6630.40622	79.4847077	38.0728625	0	47.8	0	0	3
138	83	0	2.03158503	6629.84153	6560.62712	6498.93977	6630.40622	76.2354313	38.0728625	0	49.9	0	0	3
139	84	0	2.04630667	6635.23373	6564.11954	6498.93977	6635.23373	73.5319143	38.0728625	0	51.7	0	0	3
140	85	0	2.0610283	6621.84136	6566.9849	6498.93977	6635.23373	70.8498986	38.0728625	0	53.7	0	0	3
141	85	0	2.07574993	6629.89679	6570.33116	6498.93977	6635.23373	68.6462802	38.0728625	0	55.4	0	0	3
142	86	0	2.09047156	6621.6342	6573.13731	6498.93977	6635.23373	66.196287	38.0728625	0	57.5	0	0	3
143	86	0	2.10519319	6618.58048	6575.92383	6498.93977	6635.23373	64.2058997	38.0728625	0	59.2	0	0	3
144	87	0	2.11991482	6628.26253	6579.17895	6498.93977	6635.23373	62.8743723	38.0728625	0	60.5	0	0	3
145	87	0	2.13463645	6635.087	6582.60395	6498.93977	6635.23373	61.8026239	38.0728625	0	61.6	0	0	3
146	88	0	2.14935808	6636.64976	6586.05515	6498.93977	6636.64976	60.9089305	38.0728625	0	62.5	0	0	3
147	88	0	2.16407971	6622.83563	6589.13591	6498.93977	6636.64976	60.3652845	38.0728625	0	63	0	0	3
148	89	0	2.17880134	6625.41732	6592.85584	6504.98405	6636.64976	62.786124	38.0728625	0	60.6	0	0	3
149	90	0	2.19352297	6623.09609	6596.2514	6504.98405	6636.64976	66.1816818	38.0728625	0	57.5	0	0	3
150	90	0	2.2082446	6622.35657	6599.70353	6518.60529	6636.64976	69.6338148	38.0728625	0	54.6	0	0	3
151	91	0	2.22296623	6632.72152	6603.05585	6518.60529	6636.64976	72.9861291	38.0728625	0	52.1	0	0	3
152	91	0	2.23768786	6636.39317	6606.5202	6545.35104	6636.64976	75.9098572	38.0728625	0	50.1	0	0	3
153	92	0	2.25240949	6635.75411	6609.17911	6557.56614	6636.64976	78.1273746	38.0728625	0	48.7	0	0	3
154	92	0	2.26713113	6627.36222	6611.23194	6570.39384	6636.64976	66.2559268	38.0728625	0	57.4	0	0	3
155	93	0	2.28185276	6621.38385	6612.73164	6575.36077	6636.64976	61.2889923	38.0728625	0	62.1	0	0	3
156	93	0	2.29657439	6618.18454	6613.82892	6575.36077	6636.64976	61.2889923	38.0728625	0	62.1	0	0	3
157	94	0	2.31129602	6613.85455	6614.706	6575.36077	6636.64976	61.2889923	38.0728625	0	62.1	0	0	3
158	94	0	2.32601765	6611.41527	6615.76642	6577.85569	6636.64976	58.7940777	38.0728625	0	64.7	0	0	3
159	95	0	2.34073928	6608.08597	6616.65555	6579.57883	6636.64976	57.070934	38.0728625	0	66.7	0	0	3
160	96	0	2.35546091	6611.54578	6617.43008	6579.57883	6636.64976	57.070934	38.0728625	0	66.7	0	0	3
